,source,algorithm,metric,count,mean,median,std,min,max
63,duolingo_p_4,Solver ILP,time_s,16,0.4906134752482103,0.2093464319987106,0.5824493003006378,0.011970988001849037,1.7507857539967515
64,duolingo_p_4,Solver ILP,total_cost,16,47.00000000000002,35.000000000000014,43.77670613465569,14.000000000000005,149.00000000000006
65,duolingo_p_4,Solver ILP,cost_per_node,16,0.7409375000000002,0.7200000000000002,0.07010037446404979,0.6800000000000003,0.9500000000000003
66,duolingo_p_4,Wyżarzanie symulowane,time_s,24,0.3817383931245786,0.2620633900005487,0.29725466328818506,0.09374120800202944,1.056953257000714
67,duolingo_p_4,Wyżarzanie symulowane,total_cost,24,76.20833333333336,61.00000000000002,57.40548312446839,14.000000000000005,177.00000000000006
68,duolingo_p_4,Wyżarzanie symulowane,cost_per_node,24,0.825416666666667,0.8300000000000003,0.07006079140827363,0.6800000000000003,0.9500000000000003
69,duolingo_p_4,Zbiór dominujący,time_s,24,0.002739474167356093,0.0016164375010703225,0.002639297646302091,0.0003292109977337532,0.008313961996464059
70,duolingo_p_4,Zbiór dominujący,total_cost,24,73.33333333333336,59.00000000000002,54.567602003439724,14.000000000000005,180.00000000000006
71,duolingo_p_4,Zbiór dominujący,cost_per_node,24,0.8091666666666669,0.8000000000000003,0.08188893149534487,0.7000000000000002,0.9500000000000003
72,duolingo_p_5,Algorytm genetyczny,time_s,24,0.6255690031672808,0.538805294498161,0.4259278079761688,0.12198631600040244,1.4960677830022178
73,duolingo_p_5,Algorytm genetyczny,total_cost,24,83.3749999999999,67.49999999999993,62.64170891388712,16.999999999999982,189.9999999999998
74,duolingo_p_5,Algorytm genetyczny,cost_per_node,24,0.906249999999999,0.8974999999999991,0.040439165260382395,0.8499999999999991,0.9999999999999989
75,duolingo_p_5,Algorytm losowy,time_s,24,0.0006583024996871245,0.0005481920015881769,0.0002805032338184956,0.0003457120037637651,0.001173610995465424
76,duolingo_p_5,Algorytm losowy,total_cost,24,131.12499999999986,112.99999999999989,92.54249905008382,25.99999999999997,299.99999999999966
77,duolingo_p_5,Algorytm losowy,cost_per_node,24,1.465208333333332,1.4499999999999984,0.1486349421047847,1.2049999999999987,1.819999999999998
78,duolingo_p_5,Algorytm mrówkowy,time_s,24,3.054955961875445,1.6881057760001568,3.6573957821967555,0.1366449979977915,13.390821086999496
79,duolingo_p_5,Algorytm mrówkowy,total_cost,24,83.66666666666657,67.49999999999993,62.699883271971345,16.999999999999982,187.9999999999998
80,duolingo_p_5,Algorytm mrówkowy,cost_per_node,24,0.9089583333333323,0.899999999999999,0.0382207309632131,0.8499999999999991,0.9999999999999989
81,duolingo_p_5,Algorytm zachłanny,time_s,24,0.0006708960839508412,0.0005318060029821936,0.00034473335882745566,0.0003120809997199103,0.0016795670017017983
82,duolingo_p_5,Algorytm zachłanny,total_cost,24,85.33333333333324,68.49999999999993,63.760875741808235,17.99999999999998,190.9999999999998
83,duolingo_p_5,Algorytm zachłanny,cost_per_node,24,0.9285416666666656,0.937499999999999,0.030484463850162773,0.874999999999999,0.9999999999999989
84,duolingo_p_5,Przeszukiwanie tabu,time_s,24,1.1459008634161971,0.7414422209985787,1.3855972963038679,0.0009789679970708676,5.080628087998775
85,duolingo_p_5,Przeszukiwanie tabu,total_cost,24,84.3749999999999,67.49999999999993,63.662706645188244,16.999999999999982,190.9999999999998
86,duolingo_p_5,Przeszukiwanie tabu,cost_per_node,24,0.911249999999999,0.909999999999999,0.0435702830518392,0.8499999999999991,0.9999999999999989
87,duolingo_p_5,Solver ILP,time_s,18,2.732172192332655,0.4063525599995046,6.739174640142284,0.01907500199740753,26.58864093099692
88,duolingo_p_5,Solver ILP,total_cost,18,58.94444444444438,42.99999999999995,49.67597622975395,16.999999999999982,175.9999999999998
89,duolingo_p_5,Solver ILP,cost_per_node,18,0.872499999999999,0.859999999999999,0.04236570477610949,0.8399999999999991,0.9999999999999989
90,duolingo_p_5,Wyżarzanie symulowane,time_s,24,0.38820325245887943,0.30248935949930456,0.29971299214028485,0.0755592310015345,1.0945751760009443
91,duolingo_p_5,Wyżarzanie symulowane,total_cost,24,85.1249999999999,68.49999999999993,63.93224164487838,16.999999999999982,190.9999999999998
92,duolingo_p_5,Wyżarzanie symulowane,cost_per_node,24,0.921874999999999,0.9274999999999991,0.03661825691005008,0.8499999999999991,0.9999999999999989
93,duolingo_p_5,Zbiór dominujący,time_s,24,0.0032833258746904903,0.0023923549997562077,0.0031697970453471564,0.0004586469949572347,0.010422903003927786
94,duolingo_p_5,Zbiór dominujący,total_cost,24,83.66666666666657,67.49999999999993,62.36544937192636,16.999999999999982,189.9999999999998
95,duolingo_p_5,Zbiór dominujący,cost_per_node,24,0.9127083333333322,0.899999999999999,0.040753211841060025,0.8499999999999991,0.9999999999999989
